Chino Valley Unified,CVUSD, https://aeriesweb.chino.k12.ca.us/aeries.net/
San Dieguito Union High School District, , https://parent.sduhsd.net/ParentPortal/
Tulare Joint Union High School, , https://grades.tulare.k12.ca.us/aeries.net/
Fairfield-Suisun Unified, , https://abip.fsusd.org/ParentPortal/
Live Oak Unified, , https://parent.lousd.k12.ca.us/
Sierra Sands Unified, , https://ssusd.asp.aeries.net/Student/
San Leandro Unified, , https://aeries.slusd.us/parent/
Yuba City Unified, , https://portal.ycusd.k12.ca.us/StudentParentPortal/
Los Banos Unified, , https://parentportal.losbanosusd.k12.ca.us/parentportal/
Mammoth Unified, , https://aeries.mammothusd.org/parent/
Pittsburg Unified School District, , https://aeriesnet.pittsburg.k12.ca.us/parentportal/
Healdsburg Unified School District, , https://aeriesnet.husd.com/parentportal/
Chaffey Joint Union HS District, , https://parent.cjuhsd.net/Parent/
San Lorenzo Unified School District, , https://parentportal.slzusd.k12.ca.us/
Willow Unified, , https://portal.willowsunified.org/Student/
El Dorado Union High School District, , https://parentportal.eduhsd.k12.ca.us/aeries.net/
Petaluma City Schools, , https://portal.petk12.org/Parent/
